date,home,away
26 June 2018 17:00 MSK (UTC+3),Australia,Peru
21 June 2018 20:00 YEKT (UTC+5),France,Peru
25 June 2018 17:00 MSK (UTC+3),Saudi Arabia,Egypt
19 June 2018 21:00 MSK (UTC+3),Russia,Egypt
19 June 2018 15:00 MSK (UTC+3),Colombia,Japan
20 June 2018 21:00 MSK (UTC+3),IR Iran,Spain
15 June 2018 21:00 MSK (UTC+3),Portugal,Spain
27 June 2018 21:00 MSK (UTC+3),Serbia,Brazil
26 June 2018 17:00 MSK (UTC+3),Denmark,France
17 June 2018 18:00 MSK (UTC+3),Germany,Mexico
23 June 2018 18:00 MSK (UTC+3),Korea Republic,Mexico
18 June 2018 18:00 MSK (UTC+3),Belgium,Panama
24 June 2018 15:00 MSK (UTC+3),England,Panama
28 June 2018 17:00 MSK (UTC+3),Japan,Poland
25 June 2018 18:00 SAMT (UTC+4),Uruguay,Russia
17 June 2018 16:00 SAMT (UTC+4),Costa Rica,Serbia
23 June 2018 21:00 MSK (UTC+3),Germany,Sweden
27 June 2018 19:00 YEKT (UTC+5),Mexico,Sweden
28 June 2018 20:00 KALT (UTC+2),England,Belgium
21 June 2018 21:00 MSK (UTC+3),Argentina,Croatia
26 June 2018 21:00 MSK (UTC+3),Iceland,Croatia
16 June 2018 19:00 MSK (UTC+3),Peru,Denmark
18 June 2018 21:00 MSK (UTC+3),Tunisia,England
27 June 2018 17:00 MSK (UTC+3),Korea Republic,Germany
15 June 2018 18:00 MSK (UTC+3),Morocco,IR Iran
16 June 2018 16:00 MSK (UTC+3),Argentina,Iceland
22 June 2018 18:00 MSK (UTC+3),Nigeria,Iceland
25 June 2018 20:00 KALT (UTC+2),Spain,Morocco
20 June 2018 15:00 MSK (UTC+3),Portugal,Morocco
16 June 2018 21:00 KALT (UTC+2),Croatia,Nigeria
19 June 2018 18:00 MSK (UTC+3),Poland,Senegal
24 June 2018 20:00 YEKT (UTC+5),Japan,Senegal
23 June 2018 15:00 MSK (UTC+3),Belgium,Tunisia
28 June 2018 21:00 MSK (UTC+3),Panama,Tunisia
15 June 2018 17:00 YEKT (UTC+5),Egypt,Uruguay
28 June 2018 18:00 SAMT (UTC+4),Senegal,Colombia
24 June 2018 21:00 MSK (UTC+3),Poland,Colombia
25 June 2018 21:00 MSK (UTC+3),IR Iran,Portugal
26 June 2018 21:00 MSK (UTC+3),Nigeria,Argentina
16 June 2018 13:00 MSK (UTC+3),France,Australia
21 June 2018 16:00 SAMT (UTC+4),Denmark,Australia
27 June 2018 21:00 MSK (UTC+3),Switzerland,Costa Rica
22 June 2018 15:00 MSK (UTC+3),Brazil,Costa Rica
17 June 2018 21:00 MSK (UTC+3),Brazil," Switzerland"
22 June 2018 20:00 KALT (UTC+2),Serbia," Switzerland"
20 June 2018 18:00 MSK (UTC+3),Uruguay,Saudi Arabia
14 June 2018 18:00 MSK (UTC+3),Russia,Saudi Arabia
18 June 2018 15:00 MSK (UTC+3),Sweden,Korea Republic
